순,이름,팀,WAR,oWAR,dWAR,경기수,타석,유효 타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루성공,도루실패,볼넷,사구,고의사구,삼진,병살,희생번트,희생플라이,타율,출루율,장타율,OPS,R/ePA,wRC+,WAR2
24,허경민,24  3B,3.20,2.99,0.21,115,477,477,417,69,129,28,0,7,178,61,5,1,36,18,0,25,8,0,6,0.309,0.384,0.427,0.811,0.160,122.0,3.20
25,윤동희,24  CF,3.13,2.90,0.23,141,613,610,532,97,156,35,4,14,241,85,7,8,67,7,1,114,10,2,5,0.293,0.376,0.453,0.829,0.159,113.0,3.13
26,김재환,24  DH,3.09,3.37,-0.28,136,552,549,474,78,134,28,0,29,249,92,1,1,63,6,3,168,8,0,9,0.283,0.368,0.525,0.893,0.173,132.0,3.09
27,고승민,24  2B,3.08,2.96,0.12,120,532,531,481,79,148,27,6,14,229,87,5,4,41,1,0,78,10,1,8,0.308,0.358,0.476,0.834,0.152,107.9,3.08
28,이재현,24  SS,3.03,2.43,0.60,109,458,457,389,71,101,18,1,14,163,66,2,1,58,8,1,83,8,0,3,0.260,0.365,0.419,0.784,0.146,104.8,3.03
29,정수빈,24  CF,2.97,2.52,0.45,136,608,598,510,95,145,21,3,4,184,47,52,13,71,9,1,72,8,10,8,0.284,0.376,0.361,0.737,0.131,100.2,2.97
30,박찬호,24  SS,2.78,2.58,0.20,134,577,570,515,86,158,24,1,5,199,61,20,13,48,1,1,44,9,7,6,0.307,0.363,0.386,0.749,0.129,95.7,2.78
31,신민재,24  2B,2.64,3.11,-0.47,128,474,459,387,78,115,11,6,0,138,40,32,11,64,5,1,47,7,15,3,0.297,0.401,0.357,0.758,0.148,114.2,2.64
32,노시환,24  3B,2.41,2.50,-0.08,136,601,597,526,88,143,20,2,24,239,89,6,0,60,11,9,129,10,0,4,0.272,0.356,0.454,0.810,0.145,106.5,2.41
33,김선빈,24  2B,2.38,2.98,-0.60,116,466,458,423,48,139,23,0,9,189,57,5,1,30,5,0,39,13,7,0,0.329,0.380,0.447,0.827,0.156,117.4,2.38
34,김영웅,24  3B,2.29,1.59,0.71,126,509,508,456,65,115,16,3,28,221,79,9,2,45,3,0,155,2,1,4,0.252,0.321,0.485,0.806,0.137,97.8,2.29
35,김휘집,24  SS,2.24,1.66,0.57,140,562,557,488,78,126,24,1,16,200,73,4,3,52,10,1,119,16,4,8,0.258,0.337,0.410,0.747,0.125,95.0,2.24
