WAR,AB,R,HR,TB,RBI,BB,IB,SF,AVG,OBP,SLG,OPS,wRC+
8.32,544,143,38,352,109,66,7,7,0.347,0.42,0.647,1.067,172.5
3.42,552,92,26,285,97,41,4,5,0.31,0.359,0.516,0.875,121.2
2.78,515,86,5,199,61,48,1,6,0.307,0.363,0.386,0.749,95.7
2.38,423,48,9,189,57,30,0,0,0.329,0.38,0.447,0.827,117.4
2.17,438,75,9,184,56,50,0,5,0.292,0.371,0.42,0.791,110.1
1.73,374,51,21,191,80,38,1,7,0.291,0.357,0.511,0.868,118.4
1.54,425,67,22,212,109,52,4,5,0.28,0.361,0.499,0.86,119
1.54,287,39,7,131,41,21,1,6,0.307,0.351,0.456,0.807,105.2
1.51,203,40,1,82,26,36,0,3,0.31,0.416,0.404,0.82,124.5
1.13,235,24,7,90,34,12,0,1,0.264,0.328,0.383,0.711,85.3
0.72,168,22,5,79,21,16,0,1,0.304,0.369,0.47,0.839,119
0.54,191,36,1,63,18,45,0,4,0.262,0.401,0.33,0.731,107
0.5,27,5,1,16,8,0,0,0,0.407,0.407,0.593,1,154.7
0.42,65,17,0,25,11,4,0,0,0.308,0.348,0.385,0.733,89.2
0.18,399,56,9,160,54,44,0,3,0.288,0.361,0.401,0.762,99.8
0.16,105,27,0,41,11,6,0,0,0.295,0.339,0.39,0.729,89
-0.01,29,5,0,12,2,1,0,0,0.276,0.3,0.414,0.714,77.5
-0.02,32,3,1,13,4,4,0,0,0.25,0.333,0.406,0.739,92
-0.05,7,1,0,3,3,0,0,0,0.286,0.286,0.429,0.715,74.4
-0.07,7,0,0,2,1,0,0,0,0.286,0.286,0.286,0.572,36.1
-0.07,11,2,0,3,2,4,0,0,0.273,0.467,0.273,0.74,128.3
-0.15,5,2,0,2,0,0,0,0,0.4,0.5,0.4,0.9,164.9
-0.19,12,5,0,4,2,2,0,0,0.25,0.357,0.333,0.69,88.3
-0.2,11,0,0,2,1,1,0,0,0.182,0.25,0.182,0.432,7.5
-0.23,59,12,1,13,4,8,0,0,0.136,0.239,0.22,0.459,16
2.97,510,95,4,184,47,71,1,8,0.284,0.376,0.361,0.737,100.2
2.17,533,83,34,260,107,49,1,3,0.246,0.316,0.488,0.804,104.5
3.71,521,81,18,248,81,32,4,4,0.28,0.328,0.476,0.804,104.3
3.09,474,78,29,249,92,63,3,9,0.283,0.368,0.525,0.893,132
3.21,430,57,17,206,94,40,5,6,0.314,0.379,0.479,0.858,125.3
3.2,417,69,7,178,61,36,0,6,0.309,0.384,0.427,0.811,122
0.97,328,60,0,96,30,33,1,4,0.265,0.334,0.293,0.627,65.5
1.68,311,43,10,150,48,27,1,6,0.305,0.36,0.482,0.842,119.6
1.16,252,31,5,95,31,22,0,3,0.278,0.337,0.377,0.714,86.7
-0.32,248,34,2,74,32,17,1,3,0.246,0.301,0.298,0.599,54.5
1.01,231,39,3,84,23,22,0,1,0.277,0.341,0.364,0.705,87.9
1.47,186,25,7,76,28,21,0,1,0.226,0.313,0.409,0.722,86.6
1.59,144,29,10,95,39,21,0,1,0.326,0.42,0.66,1.08,183.7
0.68,126,20,1,46,11,19,0,1,0.302,0.395,0.365,0.76,112.2
-0.69,75,10,1,14,7,8,0,2,0.133,0.23,0.187,0.417,5.6
0.3,27,10,0,11,1,7,0,0,0.333,0.471,0.407,0.878,156.9
-0.7,23,7,0,2,1,0,0,0,0.087,0.192,0.087,0.279,-21.7
-0.39,23,3,1,7,2,2,0,1,0.174,0.231,0.304,0.535,22
-0.1,20,1,0,6,0,2,0,0,0.2,0.273,0.3,0.573,43.3
-0.33,15,5,0,4,0,5,0,0,0.2,0.4,0.267,0.667,102.1
0.03,18,2,0,4,1,2,0,0,0.222,0.3,0.222,0.522,38.9
0.07,14,0,0,6,1,1,0,0,0.286,0.333,0.429,0.762,100.8
0.09,8,2,0,1,1,4,0,0,0.125,0.417,0.125,0.542,96.2
-0.03,10,2,0,4,0,1,0,0,0.4,0.455,0.4,0.855,140.6
0.19,5,1,1,4,2,3,0,0,0.2,0.5,0.8,1.3,237.7
-0.14,5,0,0,0,0,0,0,0,0,0,0,0,-144.6
-0.03,5,0,0,1,0,0,0,0,0.2,0.2,0.2,0.4,-17.2
-0.02,4,1,0,1,0,0,0,0,0.25,0.25,0.25,0.5,15.1
-0.08,4,1,0,1,1,0,0,0,0.25,0.25,0.25,0.5,15.3
-0.01,3,0,0,0,0,1,0,0,0,0.25,0,0.25,-6.5
0.12,3,0,0,3,1,0,0,0,0.667,0.667,1,1.667,380.3
-0.01,1,0,0,0,1,1,0,0,0,0.5,0,0.5,130.2
2.41,526,88,24,239,89,60,9,4,0.272,0.356,0.454,0.81,106.5
1.33,473,64,13,202,66,49,1,4,0.3,0.37,0.427,0.797,107.9
2.13,455,75,24,221,70,63,5,2,0.275,0.364,0.486,0.85,116.7
1.14,436,61,20,202,83,49,1,5,0.271,0.351,0.463,0.814,108.9
0.61,413,59,12,180,61,45,0,4,0.291,0.363,0.436,0.799,106.5
1.39,349,52,3,130,35,31,0,1,0.301,0.365,0.372,0.737,95.1
